gender	a grammatical category in infl	a grammatical category in some languages that groups nouns, pronouns and adjectives into classes that must agree with one another
cattle	domesticated bovine animals as	domesticated bovine animals kept on farms for milk and meat
testosterone	a potent androgenic hormone pr	a powerful hormone made mainly by the testes that drives the development of typical male body features
bowel	the part of the alimentary can	the part of the digestive tube below the stomach, also called the intestine
chromosome	a threadlike strand of DNA in 	a threadlike strand of DNA in the cell nucleus that carries the genes in a linear order
puberty	the time of life when sex glan	the stage of growing up when the body matures and becomes able to have children
estrogen	a general term for female ster	a group of hormones made mainly by the ovaries that control typical female body development
youngster	a young person of either sex	a young person, whether a boy or a girl
intestine	the part of the alimentary can	the long tube below the stomach through which food passes and is absorbed
colorectal	relating to or affecting the c	relating to or affecting the colon and the lower end of the bowel
unisex	not distinguished on the basis	designed to suit both boys and girls, or men and women
plumage	the light horny waterproof str	the light, tough, waterproof feathers that form the outer covering of birds
rattlesnake	pit viper with horny segments 	a venomous American snake with hard, hollow segments at the tip of its tail that rattle when shaken
armadillo	burrowing chiefly nocturnal ma	a burrowing, mostly night-active mammal whose body is covered with strong, tough plates
exoskeleton	the exterior protective or sup	the hard outer shell or supporting structure of many animals, especially invertebrates, including parts such as nails, scales or hoofs
keratin	a fibrous scleroprotein that o	a tough fibrous protein found in the outer layer of skin and in hard body parts such as hair, feathers, nails and hooves
enema	an injection of a liquid throu	a liquid passed into the lower bowel to help clear it, sometimes used for medical tests
urethra	duct through which urine is di	the tube through which urine leaves the body in most mammals
androgen	male sex hormone that is produ	a hormone made in the testes that drives the development of typical male body features
colonoscopy	visual examination of the colo	a medical examination of the inside of the colon using a thin viewing tube; requires sedation
bidet	a basin for washing genitals a	a low basin used for washing the private and lower body areas
noma	acute ulceration of the mucous	a severe ulcer of the soft lining of the mouth or lower body, often seen in poorly nourished children
defecation	the elimination of fecal waste	the passing of solid waste out of the body through the bowel
psoriasis	a chronic skin disease charact	a long-lasting skin disease marked by dry red patches covered with scales, often on the scalp, ears and other areas of skin
sexism	discriminatory or abusive beha	unfair or hurtful treatment of people because of whether they are male or female
idiocy	extreme mental retardation	a very severe degree of intellectual disability
spore	a small usually single-celled 	a small, usually single-celled reproductive body made by many non-flowering plants, fungi and some microbes, able to grow into a new individual on its own
bhakti	(Hinduism) loving devotion to 	in Hinduism, loving devotion to a god that leads to salvation; open to everyone regardless of caste or background
liberator	someone who releases people fr	someone who sets people free from captivity or imprisonment
asexual	not having or involving sex	reproducing or formed without the joining of two parents
mettle	the courage to carry on	the courage and determination to carry on
checkup	a thorough physical examinatio	a thorough physical examination, with various tests depending on a person's age and health
inherently	in an inherent manner	in a way that belongs to something as a basic, natural part of it
fart	a reflex that expels intestina	a release of gas from the bowel through the bottom, often with a sound
farting	a reflex that expels intestina	letting out gas from the bowel through the bottom
